ASO UO21117EH 425826 SZN ?mAh
starting voltage: 4.1992 V
internal resistance: 390 mOhm
3.8184,0.9995,5.334935188293457,0.0014811854779720308,0.005655758629088402;
3.8525,0.9995,10.688972473144531,0.002967674440807766,0.011382457358413074;
3.8184,0.9995,16.03949999809265,0.004453188957803779,0.01705474599011065;
3.8135,0.9947,21.393879413604736,0.005932633736862076,0.022696608655049466;
3.8135,0.9947,26.743207454681396,0.007410682793100675,0.028333148731015362;
3.8184,0.9947,32.09713673591614,0.008890003197557396,0.033981785763392905;
3.8086,0.9995,37.44740962982178,0.010375447019073699,0.039639247102019895;
3.8086,0.9995,42.800721645355225,0.011861734618941943,0.045299922054878095;
3.8037,0.9995,48.151670932769775,0.013347366233600512,0.05095081902755489;
3.8037,0.9995,53.50502848625183,0.01483366647657421,0.05660425926175395;
3.8086,0.9995,58.855000734329224,0.01631902682711681,0.06226140269283049;
3.8037,0.9995,64.20914506912231,0.017805545511179504,0.06791567381139975;
3.7939,0.9995,69.55886459350586,0.019290835695796548,0.07355071624281835;
3.7988,0.9995,74.9134418964386,0.020777474588652457,0.07919816006899938;
3.8037,0.9995,80.26331210136414,0.022262806608047754,0.08484791747117328;
3.7988,0.9995,85.61698246002197,0.023749193697902897,0.09049440474811499;
3.7939,0.9995,90.9664216041565,0.025234406038059133,0.09612915184543373;
3.7939,0.9995,96.3204345703125,0.02672088824907939,0.10176871670582349;
3.8184,0.9947,101.67045307159424,0.02819912808330854,0.10741322768884408;
3.7939,0.9995,107.0241630077362,0.0296855261614124,0.11305247335736232;
3.7939,0.9995,112.37478017807007,0.031171065567453707,0.11868846130994243;
3.7891,0.9995,117.72837424278259,0.03265743147514264,0.12432045037076657;
3.7939,0.9995,123.07819771766663,0.03414275052046114,0.12995560229680042;
3.7939,0.9995,128.43245244026184,0.03562929985247056,0.13559542180751097;
3.7891,0.9995,133.78306603431702,0.037114838265597826,0.14122427540869148;
3.7891,0.9947,139.13609719276428,0.0385939105137388,0.14682862806412245;
3.7695,0.9995,144.49083757400513,0.04008059468347497,0.15243268404194296;
3.7842,0.9995,149.8397355079651,0.04156565676263969,0.15805245596191808;
3.7842,0.9995,155.19473910331726,0.04305241401084927,0.1636786427405928;
3.7842,0.9995,160.5438642501831,0.044537539173152715,0.1692986533797815;
3.7793,0.9995,165.8975841999054,0.04602394003141589,0.17491620814341552;
3.7842,0.9947,171.24808073043823,0.04750231194778284,0.1805106631493313;
3.7793,0.9995,176.6020781993866,0.04898878985617559,0.18612850910852002;
3.7842,0.9995,181.95181322097778,0.05047408434342014,0.19174916050715085;
3.7939,0.9995,187.3055419921875,0.05196048765087129,0.19738842601528975;
3.7842,0.9947,192.6565179824829,0.0534389920446343,0.20298338234216773;
3.7744,0.9995,198.00990271568298,0.05492529983375471,0.2085933024614238;
3.7744,0.9995,203.3597297668457,0.05641061987198725,0.21419949441372868;
3.7793,0.9995,208.71357893943787,0.057897056607544434,0.21981718476841994;
3.7793,0.9995,214.0635802745819,0.0593824250337879,0.22543083766172187;
3.7695,0.9995,219.4175763130188,0.06086890254501503,0.23103411464029253;
3.7744,0.9995,224.76793885231018,0.06235437125557662,0.2366408677414362;
3.7695,0.9995,230.1219003200531,0.06384083916863469,0.2422441085397086;
3.7842,0.9995,235.47151947021484,0.06532610148546432,0.24786463819905527;
3.7744,0.9995,240.82508492469788,0.06681245944984093,0.25347474769979833;
3.7695,0.9995,246.1749165058136,0.06829778074576459,0.25907366632478257;
3.7744,0.9995,251.52909326553345,0.06978430843224792,0.26468441642464524;
3.7744,0.9995,256.87896251678467,0.07126964018686614,0.27029065259927626;
3.7793,0.9995,262.2337238788605,0.07275633018169803,0.27590930009674436;
3.7695,0.9995,267.58392238616943,0.07424175335060228,0.28150860273192896;
3.7646,0.9995,272.9370148181915,0.07572797998554841,0.2871036515218472;
3.7695,0.9995,278.2872703075409,0.07721341897488304,0.2927030137921441;
3.7793,0.9995,283.64050340652466,0.07869968466444811,0.29832005771271736;
3.7695,0.9947,288.9914894104004,0.080178191825019,0.3038932904544893;
3.7695,0.9995,294.3453629016876,0.08166463531239165,0.3094964391801406;
3.7695,0.9995,299.69913506507874,0.08315105066719983,0.31509948186008996;
3.7646,0.9995,305.0491535663605,0.08463642385943068,0.3206913177795623;
3.7695,0.9995,310.40300607681274,0.08612286152170764,0.32629444454751527;
3.7744,0.9995,315.75244402885437,0.08760807353089253,0.3319002287549827;
3.7598,0.9947,321.10706663131714,0.08908758550385634,0.33746289787093203;
3.7598,0.9995,326.45714020729065,0.09057297398696343,0.34304766148971805;
3.7598,0.9995,331.8107726573944,0.09205935055192974,0.3486361400986784;
3.7598,0.9995,337.161114692688,0.09354481356978417,0.35422118395320745;
3.7598,0.9947,342.51457238197327,0.0950240036707653,0.3597826428948763;
3.7598,0.9995,347.86512660980225,0.09650952560151949,0.3653679082501259;
3.7939,0.9995,353.2181088924408,0.09799572165471317,0.37100638745633735;
3.7598,0.9995,358.5680522918701,0.09948107399574917,0.3765910151881645;
3.7598,0.9995,363.92293334007263,0.10096779722010428,0.38218079716709485;
3.7598,0.9995,369.2719168663025,0.10245288306301172,0.3877644229192582;
3.7646,0.9995,374.6261637210846,0.10393943021061025,0.39336067831110766;
3.7549,0.9995,379.975928068161,0.10542473283974994,0.39893784115326425;
3.7549,0.9995,385.3300232887268,0.10691123788779314,0.40451951895816163;
3.7500,0.9995,390.68052411079407,0.10839674499103098,0.4100901705953035;
3.7500,0.9995,396.0345141887665,0.10988322084740137,0.4156644550566925;
